,SYMBOL,logFC,ENSEMBL,ENTREZID
0,IL2,-2.638349494,ENSG00000109471,3558
1,IL3,-0.08382653799999999,ENSG00000164399,3562
2,IL4,-1.519292672,ENSG00000113520,3565
3,IL5,-0.566971473,ENSG00000113525,3567
4,IL6,-1.077480236,ENSG00000136244,3569
5,IL7,-0.39789831299999995,ENSG00000104432,3574
6,IL9,-1.006670835,ENSG00000145839,3578
7,IL10,-1.4160457069999999,ENSG00000136634,3586
8,IL11,0.08634621199999999,ENSG00000095752,3589
9,IL12A,-2.624426847,ENSG00000168811,3592
10,IL12B,-2.280770745,ENSG00000113302,3593
11,IL13,0.813992675,ENSG00000169194,3596
12,IL15,-0.801327647,ENSG00000164136,3600
13,IL17D,0.66250668,ENSG00000172458,53342
14,IL19,-0.734692667,ENSG00000142224,29949
15,IL20,0.714238822,ENSG00000162891,50604
16,IL21,-1.146842027,ENSG00000138684,59067
17,IL22,0.017717239,ENSG00000127318,50616
18,IL23A,-0.119055989,ENSG00000110944,51561
19,IL24,-0.841555843,ENSG00000162892,11009
20,IFNA1,-0.7594694359999999,ENSG00000197919,3439
21,IFNA2,-1.249457412,ENSG00000188379,3440
22,IFNA4,0.31535272,ENSG00000236637,3441
23,IFNA5,-0.9668203320000001,ENSG00000147873,3442
24,IFNA7,-1.4929744569999999,ENSG00000214042,3444
25,IFNA8,0.24419313399999998,ENSG00000120242,3445
26,IFNA10,-0.546570152,ENSG00000186803,3446
27,IFNA14,-0.226307657,ENSG00000228083,3448
28,IFNA16,0.418143891,ENSG00000147885,3449
29,IFNA17,-1.124282075,ENSG00000234829,3451
30,IFNA21,-0.524725924,ENSG00000137080,3452
31,IFNB1,-3.562827346,ENSG00000171855,3456
32,IFNG,0.224097997,ENSG00000111537,3458
33,IFNE,0.038780342999999995,ENSG00000184995,338376
34,IFNK,-1.161763479,ENSG00000147896,56832
35,IFNL1,0.412512228,ENSG00000182393,282618
36,IFNL2,0.117254481,ENSG00000183709,282616
37,IFNW1,1.2804874640000001,ENSG00000177047,3467
38,OSM,-2.228473783,ENSG00000099985,5008
39,LIF,-0.21300627600000002,ENSG00000128342,3976
40,TSLP,2.690610975,ENSG00000145777,85480
41,CTF1,-0.719871155,ENSG00000150281,1489
42,CSF2,0.749020714,ENSG00000164400,1437
43,CNTF,0.17537410399999998,ENSG00000242689,1270
44,CSF3,0.110495099,ENSG00000108342,1440
45,EPO,2.011260697,ENSG00000130427,2056
46,GH1,-1.113727482,ENSG00000259384,2688
47,GH2,-2.0441582680000003,ENSG00000136487,2689
48,CSH1,0.36803319799999995,ENSG00000136488,1442
49,LEP,2.301319869,ENSG00000174697,3952
50,THPO,-0.607317439,ENSG00000090534,7066
51,PRL,1.536442755,ENSG00000172179,5617
52,EGF,0.120395431,ENSG00000138798,1950
53,PDGFA,0.15064818800000002,ENSG00000197461,5154
54,PDGFB,-0.36068807399999997,ENSG00000100311,5155
55,IL2RA,0.02347843,ENSG00000134460,3559
56,IL2RB,-0.7124118190000001,ENSG00000100385,3560
57,IL2RG,-0.928819304,ENSG00000147168,3561
58,IL3RA,-0.9747906209999999,ENSG00000185291,3563
59,IL4R,-0.822859131,ENSG00000077238,3566
60,IL5RA,-1.637769575,ENSG00000091181,3568
61,IL6R,1.639606458,ENSG00000160712,3570
62,IL7R,-0.8818391790000001,ENSG00000168685,3575
63,IL9R,-0.062554256,ENSG00000124334,3581
64,IL10RA,0.071983571,ENSG00000110324,3587
65,IL10RB,0.51637871,ENSG00000243646,3588
66,IL11RA,-0.95519688,ENSG00000137070,3590
67,IL12RB1,0.255949742,ENSG00000096996,3594
68,IL12RB2,2.208005955,ENSG00000081985,3595
69,IL13RA1,-1.0315619809999999,ENSG00000131724,3597
70,IL13RA2,0.692556718,ENSG00000123496,3598
71,IL15RA,-0.41408231100000004,ENSG00000134470,3601
72,IL20RA,-2.129093176,ENSG00000016402,53832
73,IL20RB,-1.220094394,ENSG00000174564,53833
74,IL21R,-0.09684921199999999,ENSG00000103522,50615
75,IL22RA1,-0.059429025,ENSG00000142677,58985
76,IL22RA2,-0.29380874,ENSG00000164485,116379
77,IL23R,0.12988268,ENSG00000162594,149233
78,IL27RA,-0.193443222,ENSG00000104998,9466
79,IL6ST,0.06800927400000001,ENSG00000134352,3572
80,IFNAR1,0.129471015,ENSG00000142166,3454
81,IFNAR2,-0.517308909,ENSG00000159110,3455
82,IFNGR1,0.342514914,ENSG00000027697,3459
83,IFNGR2,0.097058141,ENSG00000159128,3460
84,IFNGR2,0.097058141,ENSG00000262795,3460
85,IFNLR1,0.798761064,ENSG00000185436,163702
86,OSMR,-0.648706193,ENSG00000145623,9180
87,LIFR,0.525809275,ENSG00000113594,3977
88,CRLF2,0.462307035,ENSG00000205755,64109
89,CNTFR,0.808035608,ENSG00000122756,1271
90,CSF2RA,-0.39875452,ENSG00000198223,1438
91,CSF2RB,1.203002295,ENSG00000100368,1439
92,CSF3R,-0.309650083,ENSG00000119535,1441
93,EPOR,0.47505349,ENSG00000187266,2057
94,GHR,0.330120427,ENSG00000112964,2690
95,LEPR,-0.004836728,ENSG00000116678,3953
96,MPL,0.86259108,ENSG00000117400,4352
97,PRLR,0.128846829,ENSG00000113494,5618
98,EGFR,-2.42921398,ENSG00000146648,1956
99,PDGFRA,1.890669072,ENSG00000134853,5156
100,PDGFRB,-0.9562382429999999,ENSG00000113721,5159
101,JAK1,0.294115375,ENSG00000162434,3716
102,JAK2,1.339862293,ENSG00000096968,3717
103,JAK3,-0.5825902629999999,ENSG00000105639,3718
104,TYK2,0.475016583,ENSG00000105397,7297
105,STAT1,-0.09071170199999999,ENSG00000115415,6772
106,STAT2,-0.253475761,ENSG00000170581,6773
107,STAT3,0.103870234,ENSG00000168610,6774
108,STAT4,-0.912797108,ENSG00000138378,6775
109,STAT5A,-0.071321957,ENSG00000126561,6776
110,STAT5B,0.454020431,ENSG00000173757,6777
111,STAT6,0.394339135,ENSG00000166888,6778
112,CISH,0.402826621,ENSG00000114737,1154
113,SOCS1,-1.252077176,ENSG00000185338,8651
114,SOCS2,1.520583601,ENSG00000120833,8835
115,SOCS3,-0.293279815,ENSG00000184557,9021
116,SOCS4,0.171493802,ENSG00000180008,122809
117,SOCS5,-0.33995816799999995,ENSG00000171150,9655
118,SOCS7,-0.92078056,ENSG00000274211,30837
119,SOCS7,-0.92078056,ENSG00000274229,30837
120,SOCS6,-0.30147098699999997,ENSG00000170677,9306
121,BCL2,-0.20293593899999998,ENSG00000171791,596
122,MCL1,-0.23799478300000002,ENSG00000143384,4170
123,BCL2L1,-0.391244872,ENSG00000171552,598
124,PIM1,0.128691133,ENSG00000137193,5292
125,MYC,1.611983508,ENSG00000136997,4609
126,CCND1,0.331060882,ENSG00000110092,595
127,CCND2,-0.636068549,ENSG00000118971,894
128,CCND3,1.490944459,ENSG00000112576,896
129,CDKN1A,0.276401161,ENSG00000124762,1026
130,AOX1,0.829687897,ENSG00000138356,316
131,GFAP,-0.396448174,ENSG00000131095,2670
132,STAM2,1.041340494,ENSG00000115145,10254
133,STAM,-0.35487575600000004,ENSG00000136738,8027
134,PTPN2,-0.265831714,ENSG00000175354,5771
135,PTPN6,0.04596154400000001,ENSG00000111679,5777
136,IRF9,0.258215569,ENSG00000213928,10379
137,CREBBP,0.09907378800000001,ENSG00000005339,1387
138,EP300,0.371036044,ENSG00000100393,2033
139,PIAS1,0.517294013,ENSG00000033800,8554
140,PIAS2,-0.757792397,ENSG00000078043,9063
141,PIAS3,0.348151379,ENSG00000131788,10401
142,PIAS4,-0.006624149,ENSG00000105229,51588
143,FHL1,0.190600827,ENSG00000022267,2273
144,PTPN11,-0.216490183,ENSG00000179295,5781
145,GRB2,-0.004036935,ENSG00000177885,2885
146,SOS1,-0.710050525,ENSG00000115904,6654
147,SOS2,0.540494496,ENSG00000100485,6655
148,HRAS,0.893351815,ENSG00000174775,3265
149,HRAS,0.893351815,ENSG00000276536,3265
150,RAF1,0.472254402,ENSG00000132155,5894
151,PIK3CA,0.173327992,ENSG00000121879,5290
152,PIK3CD,-1.4210105430000002,ENSG00000171608,5293
153,PIK3CB,-0.379504489,ENSG00000051382,5291
154,PIK3R1,0.8018724070000001,ENSG00000145675,5295
155,PIK3R2,0.10534776800000001,ENSG00000105647,5296
156,PIK3R3,0.078797743,ENSG00000117461,8503
157,PIK3R3,0.078797743,ENSG00000278139,8503
158,AKT1,-0.513009159,ENSG00000142208,207
159,AKT2,1.746889984,ENSG00000105221,208
160,AKT3,0.770261262,ENSG00000117020,10000
161,AKT3,0.770261262,ENSG00000275199,10000
