SYMBOL,logFC
ITGA5,0.708380565
ITGB1,0.273254341
ITGAM,1.955139021
ITGB2,2.366378879
CALML3,-0.05212733
CALM3,-0.802828252
CALM1,0.61632507
CALML6,-0.589760856
CALML5,0.895251519
CALML4,-0.393510512
RHOA,0.34938864
CFL1,-0.846744563
CFL2,-0.38161333
CASP3,-0.958942866
CASP7,0.834461221
CASP1,0.144281288
PYCARD,2.418637931
NLRP3,-0.216768448
IL1B,-0.206242439
C1QA,1.334745552
C1QB,0.069574074
C1QC,-2.124258568
C1R,0.551102217
C1S,0.257358694
C2,-2.592480147
C3,0.279422207
C5,-0.226703552
SERPING1,-0.150455759
C4BPA,0.462277746
C4BPB,0.269885644
LY96,0.243818863
TLR4,-0.191859812
CD14,2.380795617
TIRAP,0.105437189
MYD88,0.958791816
IRAK4,0.538342796
IRAK1,-0.27504793
TRAF6,-0.54645803
NFKB1,0.022724821
RELA,0.840837933
TICAM1,0.841711744
IRF3,0.096695757
MAPK11,-0.763558524
MAPK12,-1.296272937
MAPK13,-0.152799354
MAPK14,0.218930246
MAPK8,-0.594849889
MAPK10,-0.285768165
MAPK9,-0.141241816
MAPK1,-0.224220124
MAPK3,-0.088770944
FOS,2.189404669
JUN,0.226463579
IL6,-1.077480236
IL12A,-2.624426847
IL12B,-2.280770745
IL23A,-0.119055989
TNF,-1.900500326
IL10,-1.416045707
IRF1,0.639478093
IRF8,-0.515759237
GNAI1,-0.607150076
GNAI3,-0.261569174
GNAI2,0.074105237
CXCL8,-1.902972447
CXCL5,0.406025923
CXCL6,1.194570006
NOD1,0.16983446
IL1A,1.37186921
