,1,2,3,4,5,6,symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
0,CHRM1,CCL1,ITGA5,HSPD1,IL2,SLC32A1,SLC32A1,0.270554893291291,5.43385351886925,0.29132516124833396,0.7760570350738659,0.982002855914713,-5.55988229889941
1,CHRM2,CCL25,ITGB1,C3,IL3,CHRNA6,CHRNA6,-0.5685286310566899,5.15160510281046,-0.5728601467316601,0.577909843370126,0.963942315229958,-5.44758450874695
2,CHRM3,CCL19,ITGAM,CR1,IL4,CACNA1A,CACNA1A,-0.47657104837845105,9.51014942359353,-0.8130671103071941,0.43290164485950605,0.950061682540906,-5.29816470556929
3,CHRM4,CCL21,ITGB2,ITGAM,IL5,CACNA1B,CACNA1B,-0.87902604551703,7.8202585898846,-1.25162691941068,0.23588274475533103,0.9239064119120759,-4.91456079701043
4,CHRM5,CCL3,CALML3,ITGB2,IL6,CHRNA4,CHRNA4,-1.21555527573068,3.49567650341021,-1.0688916020369001,0.307321004479578,0.9330058048213691,-5.090234333719541
5,ADRA1A,CCL3L1,CALM2,ARF1,IL7,CHRNB2,CHRNB2,-0.218113280724849,6.9071735422876905,-0.42906437528440206,0.675905961545365,0.975388857012499,-5.513758451221559
6,ADRA1B,CCL3L3,CALM3,RAB1A,IL9,GABRA1,GABRA1,-3.0796353468900697,4.54591191346475,-2.4300620153629704,0.0327795514548244,0.8062485655262428,-3.4294358754137004
7,ADRA1D,CCL4,CALM1,RAB1B,IL10,GABRA2,GABRA2,1.00638689991527,7.789491930772481,1.1592654283444699,0.27015179683164703,0.930600318766436,-5.0059715783876
8,ADRA2A,CCL4L2,CALML6,SEC22B,IL11,GABRA3,GABRA3,-1.8198874750695,4.03077791772498,-1.5143396863218501,0.15727504882545199,0.909612888199767,-4.628420426970401
9,ADRA2B,CCL4L1,CALML5,SAR1A,IL12A,GABRA4,GABRA4,2.1091237843277697,4.1141838471057,2.61087440960027,0.0236751767206224,0.7879636232605991,-3.1734158515565802
10,ADRA2C,CCL17,CALML4,SAR1B,IL12B,GABRA5,GABRA5,0.160130668696633,5.39078131478554,0.260556547286651,0.7991005332719259,0.9864357168889609,-5.567821039065571
11,ADRB1,CCL22,RHOA,VCP,IL13,GABRA6,GABRA6,-0.127403660449176,2.42859604033173,-0.0930070146789673,0.9275191974155229,0.9930475838039631,-5.595621721837761
12,ADRB2,CCL5,CFL1,APAF1,IL15,GABRB1,GABRB1,-0.9071339069627451,9.19164755536071,-1.54809032988072,0.14901276897290303,0.9058462139640521,-4.58915276229554
13,ADRB3,CCL8,CFL2,CYCS,IL17D,GABRB3,GABRB3,-0.23503008428180802,8.46323525542323,-0.36757100600104103,0.7199543584742379,0.9785120807053629,-5.536473240206011
14,DRD1,CCL14,CASP3,CASP9,IL19,GABRB2,GABRB2,-2.75369164418043,6.917543232159719,-2.58830646732211,0.0246595278741588,0.7879636232605991,-3.20550266536663
15,DRD2,CCL16,CASP7,CASP3,IL20,GABRG1,GABRG1,0.24031168783106602,7.04261242028808,0.248707114748464,0.808029621129394,0.9872274807680459,-5.57064549192738
16,DRD3,CCL15,CASP1,CASP8,IL21,GABRG2,GABRG2,-1.0875914111405698,10.005543027956099,-1.1302276625049998,0.281695282009917,0.9319318824644252,-5.03362061022874
17,DRD4,CCL23,PYCARD,BNIP3,IL22,GABRG3,GABRG3,0.542243101400264,4.752303686703639,0.6046104322596121,0.5573294094818001,0.9621767906603409,-5.430564785338629
18,DRD5,CCL13,NLRP3,BCL2L13,IL23A,GABRD,GABRD,-0.664585170096402,2.14761141985657,-0.984642295700691,0.345321159268161,0.941171183757666,-5.16388270854123
19,HRH2,CCL2,C1QA,NFKBIA,IFNA1,GABRQ,GABRQ,-1.75742773699018,8.27211301656806,-2.32580562319496,0.0394918005368802,0.8182998428197521,-3.5755733677464505
20,HRH3,CCL11,C1QB,NFKB1,IFNA2,GABRP,GABRP,0.346539157926697,2.698425244786,0.36606691119456203,0.721045943921703,0.9788292088470779,-5.53698616210984
21,HRH4,CCL24,C1QC,RELA,IFNA4,GABRR1,GABRR1,-0.550627794214246,3.3466490365973995,-0.39922419292098604,0.697136157532099,0.976542563959073,-5.52520523975523
22,HTR1A,CCL26,C1R,HBS1L,IFNA5,GABRR2,GABRR2,-0.0933333504931886,4.53463741111041,-0.113600151919533,0.9115390047153342,0.991614358606399,-5.5936195468254395
23,HTR1B,CCL27,C1S,EEF1A1,IFNA6,GABRR3,GABRR3,0.7748221383102021,2.31267366730229,0.709705949615087,0.49220729314212797,0.956718672112875,-5.36821277821635
24,HTR1D,CCL28,C2,EEF1A2,IFNA7,SLC17A6,SLC17A6,-3.4144321210424398,7.389380239061481,-2.67810939610137,0.020966091210209,0.7879636232605991,-3.0776686418291197
