,SYMBOL,logFC,ENSEMBL,ENTREZID
0,CHRM1,1.9580251919999998,ENSG00000168539,1128
1,CHRM2,1.597171212,ENSG00000181072,1129
2,CHRM3,0.25621766,ENSG00000133019,1131
3,CHRM4,0.8151965059999999,ENSG00000180720,1132
4,CHRM5,1.137953639,ENSG00000184984,1133
5,ADRA1A,-0.515735805,ENSG00000120907,148
6,ADRA1B,-1.552579044,ENSG00000170214,147
7,ADRA1D,-0.692947759,ENSG00000171873,146
8,ADRA2A,0.142757785,ENSG00000150594,150
9,ADRA2B,-0.34212425700000004,ENSG00000274286,151
10,ADRA2C,0.32474821800000003,ENSG00000184160,152
11,ADRB1,1.21103683,ENSG00000043591,153
12,ADRB2,1.024738825,ENSG00000169252,154
13,ADRB3,0.114386614,ENSG00000188778,155
14,DRD1,-0.58204171,ENSG00000184845,1812
15,DRD2,-0.033042848,ENSG00000149295,1813
16,DRD3,-1.485397694,ENSG00000151577,1814
17,DRD4,-1.032048591,ENSG00000069696,1815
18,DRD4,-1.032048591,ENSG00000276825,1815
19,DRD5,0.8422814909999999,ENSG00000169676,1816
20,HRH1,-0.47466679999999994,ENSG00000196639,3269
21,HRH2,2.0186394130000003,ENSG00000113749,3274
22,HRH3,0.253711865,ENSG00000101180,11255
23,HRH4,0.243769735,ENSG00000134489,59340
24,HTR1A,0.664168196,ENSG00000178394,3350
25,HTR1B,0.780691685,ENSG00000135312,3351
26,HTR1D,1.5563092230000002,ENSG00000179546,3352
27,HTR1E,-0.493116602,ENSG00000168830,3354
28,HTR1F,0.121772395,ENSG00000179097,3355
29,HTR2A,-0.131888952,ENSG00000102468,3356
30,HTR2B,-2.173275015,ENSG00000135914,3357
31,HTR2C,-1.0732994359999999,ENSG00000147246,3358
32,HTR4,0.38888336100000004,ENSG00000164270,3360
33,HTR5A,-0.733035641,ENSG00000157219,3361
34,HTR6,-0.964904697,ENSG00000158748,3362
35,HTR7,0.47504638,ENSG00000148680,3363
36,TAAR9,-3.125921237,ENSG00000237110,134860
37,TAAR1,1.543669058,ENSG00000146399,134864
38,TAAR8,0.00050146,ENSG00000146385,83551
39,TAAR5,1.198052101,ENSG00000135569,9038
40,TAAR2,0.8931245109999999,ENSG00000146378,9287
41,AGTR1,-0.381108998,ENSG00000144891,185
42,AGTR2,-0.76628008,ENSG00000180772,186
43,NMB,0.6458845,ENSG00000197696,4828
44,GRP,-2.361715436,ENSG00000134443,2922
45,NMBR,-2.218575429,ENSG00000135577,4829
46,GRPR,-0.49170038899999996,ENSG00000126010,2925
47,BRS3,-0.959924566,ENSG00000102239,680
48,BDKRB1,-1.40614893,ENSG00000100739,623
49,BDKRB2,-0.17363976,ENSG00000168398,624
50,C5AR1,0.240439268,ENSG00000197405,728
51,C3AR1,-0.459028135,ENSG00000171860,719
52,FPR1,-0.45440640600000004,ENSG00000171051,2357
53,FPR3,-1.236722447,ENSG00000187474,2359
54,FPR2,-0.9221314,ENSG00000171049,2358
55,APLN,-0.783065435,ENSG00000171388,8862
56,APLNR,-1.014631355,ENSG00000134817,187
57,CCK,1.5286160819999999,ENSG00000187094,885
58,CCKAR,-1.187613344,ENSG00000163394,886
59,CCKBR,-0.247535313,ENSG00000110148,887
60,EDN2,0.241837357,ENSG00000127129,1907
61,EDN3,-0.133610857,ENSG00000124205,1908
62,EDNRA,-0.13627973599999998,ENSG00000151617,1909
63,EDNRB,-0.39096499799999995,ENSG00000136160,1910
64,MC1R,0.592557895,ENSG00000258839,4157
65,MC2R,-0.47137380799999995,ENSG00000185231,4158
66,MC3R,0.000713129,ENSG00000124089,4159
67,MC4R,-0.152493139,ENSG00000166603,4160
68,MC5R,-0.085066035,ENSG00000176136,4161
69,NPY1R,-1.247157986,ENSG00000164128,4886
70,NPY2R,-0.274306825,ENSG00000185149,4887
71,NPY5R,-0.339733647,ENSG00000164129,4889
72,GPR83,1.226824685,ENSG00000123901,10888
73,PYY,-2.530851071,ENSG00000131096,5697
74,PPY,-0.435995505,ENSG00000108849,5539
75,NTS,3.5597660660000003,ENSG00000133636,4922
76,NTSR1,0.428990744,ENSG00000101188,4923
77,NTSR2,0.01278227,ENSG00000169006,23620
78,OPRD1,-1.3408855640000001,ENSG00000116329,4985
