SYMBOL,logFC
IL2,-2.638349494
IL3,-0.083826538
IL4,-1.519292672
IL5,-0.566971473
IL6,-1.077480236
IL7,-0.397898313
IL9,-1.006670835
IL10,-1.416045707
IL11,0.086346212
IL12A,-2.624426847
IL12B,-2.280770745
IL13,0.813992675
IL15,-0.801327647
IL17D,0.66250668
IL19,-0.734692667
IL20,0.714238822
IL21,-1.146842027
IL22,0.017717239
IL23A,-0.119055989
IL24,-0.841555843
IFNA1,-0.759469436
IFNA2,-1.249457412
IFNA4,0.31535272
IFNA5,-0.966820332
IFNA7,-1.492974457
IFNA8,0.244193134
IFNA10,-0.546570152
IFNA14,-0.226307657
IFNA16,0.418143891
IFNA17,-1.124282075
IFNA21,-0.524725924
IFNB1,-3.562827346
IFNG,0.224097997
IFNE,0.038780343
IFNK,-1.161763479
IFNL1,0.412512228
IFNL2,0.117254481
IFNW1,1.280487464
OSM,-2.228473783
LIF,-0.213006276
TSLP,2.690610975
CTF1,-0.719871155
CSF2,0.749020714
CNTF,0.175374104
CSF3,0.110495099
EPO,2.011260697
GH1,-1.113727482
GH2,-2.044158268
CSH1,0.368033198
LEP,2.301319869
THPO,-0.607317439
PRL,1.536442755
EGF,0.120395431
PDGFA,0.150648188
PDGFB,-0.360688074
IL2RA,0.02347843
IL2RB,-0.712411819
IL2RG,-0.928819304
IL3RA,-0.974790621
IL4R,-0.822859131
IL5RA,-1.637769575
IL6R,1.639606458
IL7R,-0.881839179
IL9R,-0.062554256
IL10RA,0.071983571
IL10RB,0.51637871
IL11RA,-0.95519688
IL12RB1,0.255949742
IL12RB2,2.208005955
IL13RA1,-1.031561981
IL13RA2,0.692556718
IL15RA,-0.414082311
IL20RA,-2.129093176
IL20RB,-1.220094394
IL21R,-0.096849212
IL22RA1,-0.059429025
IL22RA2,-0.29380874
IL23R,0.12988268
IL27RA,-0.193443222
IL6ST,0.068009274
IFNAR1,0.129471015
IFNAR2,-0.517308909
IFNGR1,0.342514914
IFNGR2,0.097058141
IFNLR1,0.798761064
OSMR,-0.648706193
LIFR,0.525809275
CRLF2,0.462307035
CNTFR,0.808035608
CSF2RA,-0.39875452
CSF2RB,1.203002295
CSF3R,-0.309650083
EPOR,0.47505349
GHR,0.330120427
LEPR,-0.004836728
MPL,0.86259108
PRLR,0.128846829
EGFR,-2.42921398
PDGFRA,1.890669072
PDGFRB,-0.956238243
JAK1,0.294115375
JAK2,1.339862293
JAK3,-0.582590263
TYK2,0.475016583
STAT1,-0.090711702
STAT2,-0.253475761
STAT3,0.103870234
STAT4,-0.912797108
STAT5A,-0.071321957
STAT5B,0.454020431
STAT6,0.394339135
CISH,0.402826621
SOCS1,-1.252077176
SOCS2,1.520583601
SOCS3,-0.293279815
SOCS4,0.171493802
SOCS5,-0.339958168
SOCS7,-0.92078056
SOCS6,-0.301470987
BCL2,-0.202935939
MCL1,-0.237994783
BCL2L1,-0.391244872
PIM1,0.128691133
MYC,1.611983508
CCND1,0.331060882
CCND2,-0.636068549
CCND3,1.490944459
CDKN1A,0.276401161
AOX1,0.829687897
GFAP,-0.396448174
STAM2,1.041340494
STAM,-0.354875756
PTPN2,-0.265831714
PTPN6,0.045961544
IRF9,0.258215569
CREBBP,0.099073788
EP300,0.371036044
PIAS1,0.517294013
PIAS2,-0.757792397
PIAS3,0.348151379
PIAS4,-0.006624149
FHL1,0.190600827
PTPN11,-0.216490183
GRB2,-0.004036935
SOS1,-0.710050525
SOS2,0.540494496
HRAS,0.893351815
RAF1,0.472254402
PIK3CA,0.173327992
PIK3CD,-1.421010543
PIK3CB,-0.379504489
PIK3R1,0.801872407
PIK3R2,0.105347768
PIK3R3,0.078797743
AKT1,-0.513009159
AKT2,1.746889984
AKT3,0.770261262
